motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M09650_2.00	T094804_3.10	M09650_3.10	D	ZNF324	TF_Information.txt	1	T095466_3.10	AMBIGUOUS
M09651_2.00	T094807_3.10	M09651_3.10	D	ZNF586	TF_Information.txt	0		OK
M09652_2.00	T094809_3.10	M09652_3.10	D	ZNF264	TF_Information.txt	0		OK
M09653_2.00	T094811_3.10	M09653_3.10	D	MYNN	TF_Information.txt	0		OK
M09654_2.00	T094813_3.10	M09654_3.10	D	ZNF213	TF_Information.txt	0		OK
M09655_2.00	T094820_3.10	M09655_3.10	D	ZNF184	TF_Information.txt	0		OK
M09656_2.00	T094821_3.10	M09656_3.10	D	MZF1	TF_Information.txt	0		OK
M09657_2.00	T094822_3.10	M09657_3.10	D	PATZ1	TF_Information.txt	0		OK
M09658_2.00	T094823_3.10	M09658_3.10	D	YY1	TF_Information.txt	0		OK
M09659_2.00	T094831_3.10	M09659_3.10	D	CTCF	TF_Information.txt	0		OK
M09660_2.00	T094836_3.10	M09660_3.10	D	MAZ	TF_Information.txt	0		OK
M09661_2.00	T094837_3.10	M09661_3.10	D	ZNF419	TF_Information.txt	0		OK
M09662_2.00	T094839_3.10	M09662_3.10	D	ZNF175	TF_Information.txt	0		OK
M09663_2.00	T094840_3.10	M09663_3.10	D	KLF1	TF_Information.txt	8	T094796_3.10;T094827_3.10;T094828_3.10;T094848_3.10;T094864_3.10;T094867_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M09664_2.00	T094842_3.10	M09664_3.10	D	ZNF574	TF_Information.txt	0		OK
M09665_2.00	T094843_3.10	M09665_3.10	D	ZNF85	TF_Information.txt	0		OK
M09666_2.00	T094844_3.10	M09666_3.10	D	SP4	TF_Information.txt	4	T095027_3.10;T095122_3.10;T095233_3.10;T095444_3.10	AMBIGUOUS
M09667_2.00	T094862_3.10	M09667_3.10	D	ZNF684	TF_Information.txt	0		OK
M09668_2.00	T094864_3.10	M09668_3.10	D	KLF7	TF_Information.txt	7	T094796_3.10;T094828_3.10;T094840_3.10;T094848_3.10;T094867_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M09669_2.00	T094867_3.10	M09669_3.10	D	KLF12	TF_Information.txt	8	T094796_3.10;T094827_3.10;T094828_3.10;T094840_3.10;T094848_3.10;T094864_3.10;T094904_3.10;T094932_3.10	AMBIGUOUS
M09670_2.00	T094875_3.10	M09670_3.10	D	ZNF549	TF_Information.txt	0		OK
M09671_2.00	T094879_3.10	M09671_3.10	D	GTF3A	TF_Information.txt	0		OK
M09672_2.00	T094882_3.10	M09672_3.10	D	EGR2	TF_Information.txt	3	T094872_3.10;T094930_3.10;T095176_3.10	AMBIGUOUS
M09673_2.00	T094886_3.10	M09673_3.10	D	SNAI1	TF_Information.txt	0		OK
M09674_2.00	T094888_3.10	M09674_3.10	D	ZNF45	TF_Information.txt	0		OK
M09675_2.00	T094896_3.10	M09675_3.10	D	ZNF436	TF_Information.txt	0		OK
M09676_2.00	T094899_3.10	M09676_3.10	D	ZNF384	TF_Information.txt	0		OK
M09677_2.00	T094907_3.10	M09677_3.10	D	FEZF1	TF_Information.txt	1	T094982_3.10	AMBIGUOUS
M09678_2.00	T094914_3.10	M09678_3.10	D	ZNF317	TF_Information.txt	0		OK
M09679_2.00	T094916_3.10	M09679_3.10	D	ZNF331	TF_Information.txt	0		OK
M09680_2.00	T094919_3.10	M09680_3.10	D	ZNF341	TF_Information.txt	0		OK
M09681_2.00	T094934_3.10	M09681_3.10	D	ZNF189	TF_Information.txt	0		OK
