motif_id	jaspar_name	jaspar_uniprot_id	tf_exists_in_modcredb	motif_file_exists	motif_ref_exists	db_evidence_type	db_mapping_type	matrix_status	status
MA0093.1	USF1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0093.2	USF1		not_assessed	yes	no			usable	metadata_unavailable
MA0093.3	USF1		not_assessed	yes	no			usable	metadata_unavailable
MA0093.4	USF1		not_assessed	yes	no			usable	metadata_unavailable
MA0094.1	Ubx		not_assessed	yes	no			usable	metadata_unavailable
MA0094.2	Ubx		not_assessed	yes	no			usable	metadata_unavailable
MA0094.3	Ubx		not_assessed	yes	no			usable	metadata_unavailable
MA0095.1	YY1		not_assessed	yes	yes	identical;relative_homologous	direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0095.2	YY1		not_assessed	yes	no			usable	metadata_unavailable
MA0095.3	Yy1		not_assessed	yes	no			usable	metadata_unavailable
MA0095.4	Yy1		not_assessed	yes	no			usable	metadata_unavailable
MA0096.1	bZIP910		not_assessed	yes	no			usable	metadata_unavailable
MA0097.1	bZIP911		not_assessed	yes	no			usable	metadata_unavailable
MA0098.1	ETS1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0098.2	Ets1		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0098.3	ETS1		not_assessed	yes	no			usable	metadata_unavailable
MA0098.4	ETS1		not_assessed	yes	no			usable	metadata_unavailable
MA0099.1	Fos::Jun		not_assessed	yes	yes	homologous	close_homolog	usable	metadata_unavailable
MA0099.2	FOS::JUN		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0099.3	FOS::JUN		not_assessed	yes	no			usable	metadata_unavailable
MA0099.4	FOS::JUN		not_assessed	yes	no			usable	metadata_unavailable
MA0100.1	Myb		not_assessed	yes	yes	homologous	close_homolog	usable	metadata_unavailable
MA0100.2	Myb		not_assessed	yes	no			usable	metadata_unavailable
MA0100.3	MYB		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0100.4	MYB		not_assessed	yes	no			usable	metadata_unavailable
MA0101.1	REL		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0102.1	Cebpa		not_assessed	yes	no			usable	metadata_unavailable
MA0102.2	CEBPA		not_assessed	yes	no			usable	metadata_unavailable
MA0102.3	CEBPA		not_assessed	yes	yes	identical	direct_or_identical	usable	metadata_unavailable
